,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,popularity,genres
42,For the Love of God,Steve Vai,spotify:track:5m5I3KcV83zf2p2qbsnr3y,0.152,0.842,9,-5.783,0,0.0418,0.00347,0.912,0.115,0.283,95.49,363333,4,73.27519,19,0,53,"['instrumental rock', 'metal guitar', 'neo classical metal', 'shred']"
43,Yamral Tiletish,The Roha Band,spotify:track:5euumLX8rQyUPztEepOtkt,0.672,0.697,0,-9.754,1,0.031,0.436,2.59e-06,0.123,0.846,112.137,341600,4,20.57658,14,0,12,"['ethio-jazz', 'ethiopian pop']"
44,Rock n' Roll,Suicide,spotify:track:1MZ2PkMHIdEiGo8yLtZCiy,0.251,0.34,10,-15.731,0,0.0356,0.000124,0.734,0.11,0.0315,101.663,314733,4,67.56562,8,0,4,"['alternative rock', 'art rock', 'experimental', 'experimental rock', 'industrial', 'new wave', 'no wave', 'synth punk']"
45,My Bucket's Got A Hole In It,Kid Ory,spotify:track:6P24Hq4lGoO8WU8MiCfoag,0.685,0.409,5,-13.102,1,0.0737,0.491,0.228,0.631,0.864,138.635,295133,4,20.89579,13,0,19,"['big band', 'jazz trombone', 'new orleans jazz', 'stride', 'swing']"
46,If I Ruled The World,Nas,spotify:track:5PQmSHzWnlgG4EBuIqjac2,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.908,282373,4,23.15403,14,1,69,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
47,A New Dawn - Gujarat Prabhatiyu,Rakesh Chaurasia,spotify:track:0BFwipUuYDILoHZ2GezTKF,0.347,0.54,4,-6.839,1,0.0305,0.364,0.0565,0.124,0.449,141.814,412720,4,25.2752,19,0,0,"['bansuri', 'hindustani classical', 'hindustani instrumental', 'indian classical']"
48,Alright - Demo,Osker,spotify:track:18t3mlQ0qPky2J1MEByC2i,0.319,0.967,3,-6.067,1,0.122,0.124,0.0,0.124,0.714,108.664,113827,4,82.77861,3,0,16,"['melodic hardcore', 'orgcore', 'skate punk']"
49,Images In Stone,Patrick O'Hearn,spotify:track:0ReGms8iLrj6dyHjkQSHpT,0.174,0.278,3,-20.169,1,0.0378,0.0402,0.795,0.101,0.0489,70.064,249533,3,24.45184,14,0,6,"['ambient', 'focus', 'new age']"
50,Punk Rock 101,Diesel Boy,spotify:track:4TM8FBojGAfApm4n109A72,0.327,0.906,1,-6.617,0,0.0719,3.28e-05,1.11e-05,0.0655,0.342,102.413,106333,3,20.69348,6,0,23,"['melodic hardcore', 'punk', 'skate punk']"
51,Going Great,Keith Mansfield,spotify:track:1jdSaAKgKJWqKfCG27uYis,0.595,0.729,10,-13.383,0,0.0387,0.00262,0.928,0.0705,0.75,108.028,147707,4,37.89875,8,0,1,"['exotica', 'library music', 'lounge', 'moog', 'spytrack']"
52,Teenage Chase,Keith Mansfield,spotify:track:1fTBI3r4rA2tLzMsAup4iw,0.735,0.575,0,-7.341,1,0.063,0.195,0.915,0.135,0.848,145.371,141493,4,26.859,9,0,2,"['exotica', 'library music', 'lounge', 'moog', 'spytrack']"
53,Say It,Voices Of Theory,spotify:track:5919i3Sp9U2IE5m7hhlgSw,0.381,0.415,0,-10.298,1,0.0691,0.675,0.0,0.0795,0.257,61.908,269467,3,26.47203,9,1,46,"['boy band', 'contemporary r&b']"
54,Darn That Dream,Dexter Gordon,spotify:track:1r1JtYz4XhvIIU1bIMQ0cn,0.526,0.0921,4,-14.569,0,0.0386,0.918,0.329,0.116,0.292,115.388,452333,4,37.63463,19,0,29,"['bebop', 'hard bop', 'jazz', 'jazz saxophone']"
55,The Christmas Song,Rosemary Clooney,spotify:track:23OheZvcp1ikImwgj4zFFz,0.359,0.225,7,-12.624,1,0.0336,0.9,0.000328,0.111,0.165,130.443,228360,4,23.99633,11,0,15,"['adult standards', 'easy listening', 'lounge', 'torch song', 'vocal jazz']"
56,Segura esta Mulher,Silvio Caldas,spotify:track:4KkF4KNWkRFlSW8B5Bulgx,0.821,0.424,7,-11.753,1,0.05,0.925,0.0,0.364,0.955,119.675,149200,4,36.85945,7,0,0,['velha guarda']
57,When Will I See You Smile Again?,Bell Biv DeVoe,spotify:track:3q0QmvdwHBETS89ZvelClL,0.727,0.436,6,-11.862,0,0.0281,0.0492,0.00338,0.0686,0.381,124.021,307133,4,24.0258,12,1,49,"['boy band', 'contemporary r&b', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
58,King Darius Suite,VeggieTales,spotify:track:0Qqschhs4Szs4SVSCuE5MM,0.64,0.361,3,-10.099,1,0.253,0.794,0.0,0.104,0.613,139.457,131227,4,56.23845,5,0,25,"['cartoon', ""children's music""]"
59,Georgia On My Mind,Michael Bolton,spotify:track:49kdc9KAqm4N28Y01g8SuS,0.321,0.435,11,-10.942,1,0.0341,0.256,1.06e-05,0.086,0.174,158.465,298133,3,45.70894,18,1,41,"['adult standards', 'mellow gold', 'soft rock']"
60,My Name Is,Eminem,spotify:track:75IN3CtuZwTHTnZvYM4qnJ,0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,268400,4,101.41937,8,1,76,"['detroit hip hop', 'hip hop', 'rap']"
61,Thrash Under Pressure,Exodus,spotify:track:2vjQLtmUsAAgTl0nPceoV0,0.373,0.997,11,-5.442,0,0.213,0.000402,0.377,0.474,0.182,106.049,159707,4,18.80157,7,0,19,"['death metal', 'groove metal', 'hard rock', 'metal', 'old school thrash', 'speed metal', 'thrash metal']"
62,Foolish Heart,Sharon Bryant,spotify:track:7JR5s8DtDZxhVHAqawvo20,0.642,0.419,1,-12.609,1,0.0316,0.481,0.0,0.0523,0.755,95.6,279840,4,46.68056,10,1,9,[]
63,That's The Way Love Goes,Young M.C.,spotify:track:4bw5Pth0q5KcguwvAv0dVt,0.849,0.694,6,-14.43,0,0.0642,0.0232,0.00252,0.0524,0.932,118.309,229307,4,34.91088,9,1,6,"['hip hop', 'rap']"
64,Stock Yards Strut,Small Jazz Band,spotify:track:6GPUHTXaKdrvxlYoUnUHk1,0.802,0.437,8,-12.955,1,0.0733,0.712,0.87,0.192,0.981,112.5,254695,4,77.394,11,0,0,['skiffle']
65,No Myth,Michael Penn,spotify:track:4SZozsPsG0vJ2Ti8BGxKsR,0.633,0.795,0,-7.617,1,0.0319,0.054,8.83e-05,0.34,0.833,103.504,250813,4,72.89685,10,1,43,['power pop']
66,Amor De Escuela,Luis Miguel,spotify:track:1SKCQnKAuduNb0tOSTpRG9,0.541,0.726,0,-5.582,1,0.0406,0.277,0.0,0.219,0.763,114.092,194809,3,29.23983,10,0,2,"['bolero', 'latin pop']"
67,Kalinka,Limpopo,spotify:track:35Q0piq5ACqGsiGyatdjge,0.452,0.715,4,-8.245,0,0.0969,0.78,0.0,0.0681,0.866,120.445,90600,4,22.89757,6,0,4,['russian folk']
68,When It's Sleepytime Down South,Wynton Marsalis,spotify:track:0ZO3xca4fN38Be1un20nc9,0.532,0.132,8,-15.891,1,0.047,0.865,0.159,0.166,0.332,89.321,309000,4,44.3113,13,0,44,"['big band', 'classical trumpet', 'contemporary post-bop', 'jazz', 'jazz trumpet', 'new orleans jazz', 'straight-ahead jazz']"
69,Creep With Me,South Park Mexican,spotify:track:1qSMPxxsXOqTiAqWrnnVlg,0.847,0.529,4,-7.339,0,0.261,0.229,0.0,0.256,0.945,160.033,253467,4,32.06404,14,0,0,"['chicano rap', 'dirty south rap', 'gangster rap', 'houston rap', 'latin hip hop', 'texas latin rap']"
70,Hair Shoes (Demo),Pale Saints,spotify:track:5CjiJgkEWWji5aHCOCZP6j,0.12,0.368,4,-17.083,0,0.038,0.15,0.346,0.116,0.084,79.353,196227,5,28.59315,9,0,0,"['alternative rock', 'c86', 'dream pop', 'dreamgaze', 'nu gaze', 'shoegaze']"
71,Can't Let Go,Mariah Carey,spotify:track:0ikbcCJIJaY9sKEivAXJ4I,0.477,0.533,10,-11.049,1,0.0408,0.591,0.00685,0.139,0.18,162.368,266560,4,26.49111,12,1,48,"['dance pop', 'pop', 'urban contemporary']"
72,Oirectine,Boards of Canada,spotify:track:6FGxhUgXzsj98rI7Yo915Z,0.826,0.47,1,-11.804,1,0.0646,0.225,0.951,0.111,0.174,106.099,311133,4,75.99269,10,0,32,"['ambient', 'electronica', 'intelligent dance music', 'scottish electronic', 'trip hop']"
73,"Tsar Saltan, Op. 57: Flight of the Bumblebee",Nikolai Rimsky-Korsakov,spotify:track:08ttJ6UR1O7Ofrpu1Qe939,0.458,0.11,9,-22.234,0,0.0309,0.977,0.903,0.359,0.481,83.43,84267,4,51.06891,4,0,29,"['avant-garde', 'classical', 'late romantic era', 'russian romanticism']"
74,L.A. Song,Beth Hart,spotify:track:69pBTbnLue0leYUCMAFqPj,0.351,0.615,7,-7.621,1,0.0451,0.206,0.0,0.985,0.337,127.798,271107,3,58.57055,10,1,0,['modern blues']
75,Rock-n-roll - это не работа,Alisa,spotify:track:43YE3dS5p9Gf4wmkPwn4yn,0.496,0.869,9,-7.754,1,0.118,0.179,4e-06,0.328,0.559,115.275,254240,4,31.46344,7,0,0,"['classic russian rock', 'russian punk', 'russian rock']"
76,Blues X Man,The Jon Spencer Blues Explosion,spotify:track:3jdKHCmYhTEpypRotNqFs3,0.633,0.647,9,-3.691,1,0.122,0.281,0.285,0.311,0.63,94.824,213147,4,39.46883,11,0,16,"['blues rock', 'garage rock', 'punk blues']"
77,Church Of Your Heart,Roxette,spotify:track:6broBHB7ObAA2BhzLT2nlX,0.581,0.637,7,-6.039,1,0.0273,0.0146,1.15e-05,0.103,0.608,112.437,195987,4,34.71079,10,1,20,"['europop', 'new wave pop', 'soft rock', 'swedish pop']"
78,Can't Stop This Thing We Started,Bryan Adams,spotify:track:753VOnELPOptUFMm7H10Vc,0.497,0.93,9,-3.902,1,0.0444,0.0112,0.0,0.354,0.47,113.086,195933,4,21.81515,10,1,25,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']"
79,Peach,Beborn Beton,spotify:track:61u4h6IUG74LyvxzmvFToc,0.632,0.852,0,-8.265,1,0.037,0.0235,0.122,0.056,0.559,125.009,270187,4,39.4452,15,0,0,"['dark electro', 'ebm', 'electro-industrial', 'futurepop', 'neo-synthpop', 'synthpop']"
80,Downtown Train,Rod Stewart,spotify:track:5XJzh2c0roCc6GDs8PrILx,0.527,0.584,10,-7.965,1,0.0314,0.0878,0.000103,0.117,0.271,114.941,279413,4,29.41867,15,1,51,"['mellow gold', 'soft rock']"
81,One Of Us,Joan Osborne,spotify:track:1xNmF1Uep5OGutizZSbKvd,0.316,0.499,9,-7.899,1,0.0298,0.0108,1.81e-05,0.126,0.403,174.782,320467,4,38.6325,15,1,66,"['folk', 'lilith', 'new wave pop', 'pop rock', 'singer-songwriter']"
82,Love On My Mind,Xscape,spotify:track:5hzdcPTFKEuRVuN8cTkcvl,0.892,0.488,3,-9.748,0,0.041,0.0316,0.0,0.0284,0.786,101.89,228902,4,41.96758,10,1,32,"['atl hip hop', 'contemporary r&b', 'girl group', 'hip hop', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']"
83,My Baby Mama,QT,spotify:track:0Ib6Harf3hHKOwXGeHaM5O,0.688,0.519,2,-8.629,1,0.0421,0.114,0.0,0.0565,0.385,124.125,250973,4,35.78429,8,1,0,[]
84,Something Wild,Iggy Pop,spotify:track:18vGIMUWsWCFteG0ADixbS,0.595,0.772,7,-10.869,1,0.0263,0.0463,4.81e-05,0.196,0.679,129.044,241440,4,74.43606,10,0,18,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'protopunk', 'punk', 'rock']"
85,Everybodies Girl,Dwarves,spotify:track:0luiEdjsPs2uXKEEXRmZlc,0.381,0.968,4,-5.287,1,0.0992,0.00532,0.0,0.607,0.433,143.099,162333,4,41.28468,9,0,15,"['chicago punk', 'hardcore punk', 'power-pop punk', 'punk', ""punk 'n' roll"", 'ska punk', 'skate punk']"
86,Screaming for Vengeance,Judas Priest,spotify:track:1xrZtQGgKrnrbYFWJ1YLmJ,0.391,0.979,9,-5.537,1,0.0936,0.00922,3.43e-06,0.533,0.184,112.928,283907,4,24.75128,13,0,15,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'rock']"
87,Who Is It,Michael Jackson,spotify:track:4HWcWgleTuUAWnVPNwW4CM,0.862,0.595,5,-4.655,1,0.121,0.0152,0.000343,0.104,0.502,103.168,393307,4,40.91468,13,1,57,"['pop', 'r&b', 'soul']"
88,Bad Girl,Madonna,spotify:track:2tySjBBWqam7oaBUZ26oNL,0.645,0.484,11,-11.233,0,0.0396,0.0211,3.88e-06,0.0495,0.52,146.897,323333,4,44.29664,12,1,38,"['dance pop', 'pop']"
89,Destiny,Myron,spotify:track:20I5QpXHxNEUVS9owFhcXE,0.614,0.419,1,-10.433,1,0.308,0.0226,0.0,0.0835,0.523,116.056,216493,4,41.32123,9,1,10,['swiss rock']
90,That's Not Her Style,Billy Joel,spotify:track:7EXagPENSPw79YAz500A6A,0.65,0.899,2,-4.694,1,0.0331,0.0412,0.0,0.263,0.814,118.245,308000,4,18.28167,16,1,33,"['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
91,Our Delight,Jan Lundgren Trio,spotify:track:6VIs7tIJ6XkFvQMAnbo7Nw,0.464,0.443,10,-14.391,0,0.0361,0.743,0.0773,0.713,0.641,112.944,239707,4,117.39012,5,0,7,"['jazz trio', 'modern jazz trio', 'swedish jazz']"
92,December,Collective Soul,spotify:track:3yi27cGUFPTQUdWZV9nV67,0.684,0.645,0,-5.707,1,0.0272,0.589,0.00432,0.18,0.366,121.995,285000,4,47.447,12,1,0,"['alternative rock', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
93,Little Bird,Annie Lennox,spotify:track:1KX8GhTteEUlkbfzaRzbsx,0.767,0.521,9,-9.145,1,0.0351,0.247,0.00124,0.303,0.672,124.995,292426,4,30.15971,10,1,50,"['mellow gold', 'new wave pop', 'pop rock', 'singer-songwriter', 'soft rock']"
94,When You Don't See Me (Remastered),Sisters of Mercy,spotify:track:7nu1rAUwlMIeOlaPbrK9Du,0.666,0.803,9,-10.91,0,0.0299,0.00837,0.187,0.304,0.862,121.258,294320,4,49.7856,9,0,14,['corrosion']
95,"She Was Tall, She Was High",The Pretty Things,spotify:track:1ZBAsM0AIjBaCRwL1iOTIZ,0.444,0.479,7,-9.731,1,0.0341,0.0492,2.28e-05,0.236,0.303,140.192,95840,4,25.19804,7,0,44,"['blues rock', 'british blues', 'british invasion', 'classic garage rock', 'classic rock', 'experimental', 'folk rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
96,"I Love Music (From ""Carlito's Way"")",Rozalla,spotify:track:7bf3WkBlgMvE2n0F96LQja,0.714,0.686,2,-8.428,0,0.0294,0.0376,0.0043,0.0853,0.842,125.982,290000,4,26.85643,13,1,14,"['diva house', 'eurodance', 'hip house']"
97,Bad Reputation,Freedy Johnston,spotify:track:5aNAOwr2QoRbvyRG7ZVrhf,0.608,0.677,4,-9.951,0,0.0246,0.0058,0.000537,0.266,0.787,114.046,248560,4,42.90858,11,1,42,"['alternative country', 'jangle pop', 'power pop', 'roots rock']"
98,Few And Far Between,"10,000 Maniacs",spotify:track:5KqINh56tApMe4LDMfLwOp,0.614,0.928,6,-6.827,1,0.032,0.0081,0.00051,0.025,0.878,133.629,194373,4,29.19663,8,1,28,"['lilith', 'mellow gold', 'new wave pop', 'pop rock', 'singer-songwriter']"
99,Gettin' Jiggy Wit It,Will Smith,spotify:track:0weAUscowxeqDtpCgtbpgp,0.881,0.874,6,-4.505,1,0.139,0.0175,1.19e-06,0.154,0.858,107.891,227933,4,21.25823,10,1,70,"['dance pop', 'hip hop', 'pop rap']"
